scenario,policy,quarter,year,employment_rate,employed,displaced,reskilling,transitioned
Aggressive,Denmark,37,9.25,97.098,46241,1077,374,2308
Aggressive,Denmark,38,9.5,97.122,46127,1081,358,2434
Aggressive,Denmark,39,9.75,97.126,46020,1075,362,2543
Aggressive,Denmark,40,10.0,97.152,45910,1093,331,2666
Aggressive,Denmark,41,10.25,97.122,45792,1109,330,2769
Aggressive,Denmark,42,10.5,97.138,45708,1072,359,2861
Aggressive,Denmark,43,10.75,97.152,45612,1046,378,2964
Aggressive,Denmark,44,11.0,97.102,45489,1061,388,3062
Aggressive,Denmark,45,11.25,97.124,45374,1057,381,3188
Aggressive,Denmark,46,11.5,97.13199999999999,45262,1050,384,3304
Aggressive,Denmark,47,11.75,97.18,45160,1050,360,3430
Aggressive,Denmark,48,12.0,97.19,45061,1051,354,3534
Aggressive,Germany,1,0.25,99.98599999999999,49993,7,0,0
Aggressive,Germany,2,0.5,99.954,49977,22,1,0
Aggressive,Germany,3,0.75,99.91799999999999,49959,39,2,0
Aggressive,Germany,4,1.0,99.87,49934,63,2,1
Aggressive,Germany,5,1.25,99.816,49907,86,6,1
Aggressive,Germany,6,1.5,99.724,49861,129,9,1
Aggressive,Germany,7,1.75,99.646,49818,160,17,5
Aggressive,Germany,8,2.0,99.536,49762,211,21,6
Aggressive,Germany,9,2.25,99.436,49703,253,29,15
Aggressive,Germany,10,2.5,99.328,49643,298,38,21
Aggressive,Germany,11,2.75,99.22,49576,339,51,34
Aggressive,Germany,12,3.0,99.09400000000001,49497,387,66,50
Aggressive,Germany,13,3.25,98.99799999999999,49432,433,68,67
Aggressive,Germany,14,3.5,98.938,49376,460,71,93
Aggressive,Germany,15,3.75,98.83,49297,515,70,118
Aggressive,Germany,16,4.0,98.682,49196,589,70,145
Aggressive,Germany,17,4.25,98.54,49104,639,91,166
Aggressive,Germany,18,4.5,98.414,49015,691,102,192
Aggressive,Germany,19,4.75,98.26,48911,751,119,219
Aggressive,Germany,20,5.0,98.128,48806,810,126,258
Aggressive,Germany,21,5.25,97.98400000000001,48685,874,134,307
Aggressive,Germany,22,5.5,97.882,48599,903,156,342
Aggressive,Germany,23,5.75,97.82600000000001,48514,944,143,399
Aggressive,Germany,24,6.0,97.708,48408,992,154,446
Aggressive,Germany,25,6.25,97.65599999999999,48326,1010,162,502
Aggressive,Germany,26,6.5,97.6,48241,1038,162,559
Aggressive,Germany,27,6.75,97.52,48142,1077,163,618
Aggressive,Germany,28,7.0,97.476,48071,1088,174,667
Aggressive,Germany,29,7.25,97.426,47983,1119,168,730
Aggressive,Germany,30,7.5,97.39,47905,1135,170,790
Aggressive,Germany,31,7.75,97.344,47827,1150,178,845
Aggressive,Germany,32,8.0,97.292,47758,1159,195,888
Aggressive,Germany,33,8.25,97.272,47689,1151,213,947
Aggressive,Germany,34,8.5,97.20400000000001,47586,1191,207,1016
Aggressive,Germany,35,8.75,97.178,47496,1222,189,1093
Aggressive,Germany,36,9.0,97.146,47413,1250,177,1160
Aggressive,Germany,37,9.25,97.116,47343,1244,198,1215
Aggressive,Germany,38,9.5,97.108,47277,1250,196,1277
Aggressive,Germany,39,9.75,97.10600000000001,47205,1272,175,1348
Aggressive,Germany,40,10.0,97.026,47114,1318,169,1399
Aggressive,Germany,41,10.25,96.94800000000001,47024,1341,185,1450
Aggressive,Germany,42,10.5,96.938,46962,1318,213,1507
Aggressive,Germany,43,10.75,96.92399999999999,46890,1316,222,1572
Aggressive,Germany,44,11.0,96.892,46824,1302,252,1622
Aggressive,Germany,45,11.25,96.938,46776,1281,250,1693
Aggressive,Germany,46,11.5,96.936,46686,1305,227,1782
Aggressive,Germany,47,11.75,97.012,46635,1262,232,1871
Aggressive,Germany,48,12.0,97.014,46575,1265,228,1932
Aggressive,Singapore,1,0.25,99.982,49991,9,0,0
Aggressive,Singapore,2,0.5,99.94800000000001,49974,24,2,0
Aggressive,Singapore,3,0.75,99.90400000000001,49952,44,4,0
Aggressive,Singapore,4,1.0,99.848,49922,69,7,2
Aggressive,Singapore,5,1.25,99.766,49880,103,14,3
Aggressive,Singapore,6,1.5,99.65,49818,159,16,7
Aggressive,Singapore,7,1.75,99.544,49761,204,24,11
Aggressive,Singapore,8,2.0,99.424,49696,250,38,16
Aggressive,Singapore,9,2.25,99.328,49635,293,43,29
Aggressive,Singapore,10,2.5,99.182,49550,358,51,41
Aggressive,Singapore,11,2.75,99.016,49452,433,59,56
Aggressive,Singapore,12,3.0,98.842,49348,492,87,73
Aggressive,Singapore,13,3.25,98.69200000000001,49251,554,100,95
Aggressive,Singapore,14,3.5,98.574,49150,598,115,137
Aggressive,Singapore,15,3.75,98.368,49017,683,133,167
Aggressive,Singapore,16,4.0,98.214,48893,761,132,214
Aggressive,Singapore,17,4.25,98.064,48776,819,149,256
Aggressive,Singapore,18,4.5,97.918,48650,883,158,309
Aggressive,Singapore,19,4.75,97.736,48514,951,181,354
Aggressive,Singapore,20,5.0,97.59,48381,1021,184,414
Aggressive,Singapore,21,5.25,97.398,48227,1104,197,472
Aggressive,Singapore,22,5.5,97.32,48129,1109,231,531
Aggressive,Singapore,23,5.75,97.176,47997,1162,250,591
Aggressive,Singapore,24,6.0,97.072,47857,1221,243,679
Aggressive,Singapore,25,6.25,97.012,47748,1240,254,758
Aggressive,Singapore,26,6.5,96.922,47621,1276,263,840
Aggressive,Singapore,27,6.75,96.842,47498,1327,252,923
Aggressive,Singapore,28,7.0,96.794,47393,1332,271,1004
Aggressive,Singapore,29,7.25,96.76599999999999,47290,1327,290,1093
Aggressive,Singapore,30,7.5,96.714,47167,1359,284,1190
Aggressive,Singapore,31,7.75,96.70400000000001,47065,1370,278,1287
Aggressive,Singapore,32,8.0,96.622,46940,1395,294,1371
Aggressive,Singapore,33,8.25,96.58200000000001,46836,1427,282,1455
Aggressive,Singapore,34,8.5,96.53399999999999,46708,1450,283,1559
Aggressive,Singapore,35,8.75,96.482,46601,1454,305,1640
Aggressive,Singapore,36,9.0,96.41,46488,1458,337,1717
Aggressive,Singapore,37,9.25,96.428,46386,1458,328,1828
Aggressive,Singapore,38,9.5,96.466,46287,1456,311,1946
Aggressive,Singapore,39,9.75,96.464,46187,1454,314,2045
Aggressive,Singapore,40,10.0,96.422,46062,1486,303,2149
Aggressive,Singapore,41,10.25,96.30199999999999,45914,1553,296,2237
Aggressive,Singapore,42,10.5,96.282,45817,1548,311,2324
Aggressive,Singapore,43,10.75,96.232,45691,1563,321,2425
Aggressive,Singapore,44,11.0,96.188,45589,1563,343,2505
Aggressive,Singapore,45,11.25,96.19,45490,1538,367,2605
Aggressive,Singapore,46,11.5,96.082,45338,1597,362,2703
Aggressive,Singapore,47,11.75,96.108,45240,1579,367,2814
Aggressive,Singapore,48,12.0,96.126,45142,1566,371,2921
