date,High AI Exposure,Medium AI Exposure,Low AI Exposure
2022-01-01,7.5,7.133333333333333,7.833333333333333
2022-02-01,7.3999999999999995,7.2,7.866666666666667
2022-03-01,7.666666666666667,8.233333333333334,8.200000000000001
2022-04-01,8.200000000000001,7.666666666666667,7.933333333333333
2022-05-01,6.933333333333334,7.166666666666667,7.8
2022-06-01,7.433333333333333,6.833333333333333,7.633333333333333
2022-07-01,7.8999999999999995,7.0,7.699999999999999
2022-08-01,5.966666666666668,6.5,7.1000000000000005
2022-09-01,6.366666666666667,6.766666666666666,7.633333333333334
2022-10-01,6.8,6.566666666666667,7.433333333333334
2022-11-01,6.666666666666667,6.5,6.966666666666666
2022-12-01,5.3999999999999995,6.566666666666666,7.633333333333334
2023-01-01,5.466666666666666,6.066666666666666,6.666666666666667
2023-02-01,5.433333333333334,5.7,6.566666666666667
2023-03-01,5.599999999999999,5.666666666666667,6.433333333333334
2023-04-01,6.1000000000000005,5.933333333333333,6.633333333333333
2023-05-01,5.033333333333334,5.333333333333333,6.366666666666667
2023-06-01,4.933333333333334,5.366666666666667,6.466666666666666
2023-07-01,5.033333333333334,5.3,6.3
2023-08-01,5.633333333333333,5.3999999999999995,6.5
2023-09-01,5.433333333333334,5.3999999999999995,6.666666666666667
2023-10-01,4.6000000000000005,4.966666666666667,6.133333333333333
2023-11-01,4.566666666666666,4.933333333333334,6.333333333333333
2023-12-01,4.733333333333333,5.5,5.966666666666668
2024-01-01,5.5,4.933333333333334,6.233333333333333
2024-02-01,5.6000000000000005,5.0,6.066666666666667
2024-03-01,4.833333333333333,4.733333333333333,5.933333333333334
2024-04-01,4.433333333333334,4.366666666666667,5.366666666666666
2024-05-01,4.3999999999999995,4.666666666666667,5.333333333333333
2024-06-01,3.9666666666666663,4.433333333333334,5.066666666666667
2024-07-01,4.433333333333334,4.3999999999999995,4.866666666666666
2024-08-01,4.133333333333334,4.433333333333334,5.2
2024-09-01,4.333333333333333,4.033333333333334,4.433333333333334
2024-10-01,5.0,4.2,4.866666666666667
2024-11-01,4.8,4.133333333333334,4.866666666666667
2024-12-01,4.133333333333334,4.0,4.733333333333333
2025-01-01,4.666666666666667,4.266666666666667,4.8
2025-02-01,4.366666666666667,4.133333333333334,4.866666666666666
2025-03-01,4.366666666666666,3.8333333333333335,4.666666666666667
2025-04-01,5.033333333333333,4.2,4.433333333333334
2025-05-01,4.566666666666666,4.133333333333334,5.033333333333333
2025-06-01,4.266666666666667,4.233333333333333,4.7
2025-07-01,5.266666666666667,4.066666666666666,4.766666666666667
2025-08-01,4.2,4.166666666666667,4.633333333333334
2025-09-01,4.366666666666667,4.133333333333334,4.833333333333334
2025-10-01,4.1000000000000005,4.233333333333333,4.566666666666666
2025-11-01,3.966666666666667,4.233333333333333,4.6000000000000005
2025-12-01,3.4333333333333336,3.8666666666666667,4.433333333333333
2026-01-01,4.566666666666666,4.466666666666666,4.733333333333333
2026-02-01,4.333333333333333,4.266666666666667,4.2
