date,High AI Exposure,Medium AI Exposure,Low AI Exposure
2022-01-01,4.466666666666667,4.266666666666667,5.233333333333333
2022-02-01,3.6666666666666665,4.566666666666666,5.533333333333332
2022-03-01,3.766666666666667,4.3,5.5
2022-04-01,4.133333333333333,4.233333333333333,5.266666666666667
2022-05-01,4.0,3.9333333333333336,5.400000000000001
2022-06-01,4.1000000000000005,4.166666666666667,5.333333333333333
2022-07-01,3.9333333333333336,4.033333333333333,5.433333333333334
2022-08-01,3.866666666666667,4.233333333333333,5.333333333333333
2022-09-01,3.6,3.8333333333333335,5.2
2022-10-01,3.733333333333333,3.9,5.166666666666667
2022-11-01,3.466666666666667,3.8666666666666667,4.933333333333333
2022-12-01,2.6333333333333333,4.000000000000001,5.2
2023-01-01,3.1666666666666665,4.1000000000000005,5.266666666666667
2023-02-01,2.9,3.8666666666666667,5.0
2023-03-01,3.0666666666666664,3.733333333333333,5.133333333333334
2023-04-01,3.3333333333333335,3.6,4.8
2023-05-01,3.033333333333333,4.266666666666667,5.033333333333333
2023-06-01,3.0,3.766666666666667,5.1000000000000005
2023-07-01,3.0666666666666664,3.733333333333333,4.833333333333333
2023-08-01,3.033333333333333,3.733333333333333,4.966666666666667
2023-09-01,2.866666666666667,3.733333333333333,4.8
2023-10-01,2.866666666666667,3.5999999999999996,4.933333333333334
2023-11-01,2.533333333333333,3.5666666666666664,4.766666666666667
2023-12-01,2.5,3.3666666666666667,4.566666666666667
2024-01-01,3.2000000000000006,3.3333333333333335,4.7
2024-02-01,2.9,3.4,4.733333333333333
2024-03-01,2.8333333333333335,3.3000000000000003,4.6000000000000005
2024-04-01,3.0,3.5666666666666664,4.433333333333333
2024-05-01,3.1333333333333333,3.466666666666667,4.5
2024-06-01,3.0999999999999996,3.2999999999999994,3.9333333333333336
2024-07-01,3.1,3.466666666666667,4.433333333333334
2024-08-01,3.1666666666666665,3.0,4.266666666666667
2024-09-01,3.1,3.2999999999999994,4.333333333333333
2024-10-01,2.8333333333333335,3.1999999999999997,4.233333333333333
2024-11-01,2.5,3.1,4.233333333333333
2024-12-01,2.5333333333333337,3.2000000000000006,4.033333333333333
2025-01-01,3.0,3.233333333333333,4.1000000000000005
2025-02-01,2.9333333333333336,3.1666666666666665,4.066666666666666
2025-03-01,3.1333333333333333,3.1999999999999997,4.0
2025-04-01,3.4333333333333336,3.1333333333333333,4.333333333333333
2025-05-01,3.266666666666666,2.9000000000000004,4.5
2025-06-01,3.3333333333333335,3.0666666666666664,4.466666666666666
2025-07-01,3.366666666666667,3.0,4.2
2025-08-01,3.1666666666666665,3.0,4.233333333333333
2025-09-01,3.1666666666666665,3.1666666666666665,4.366666666666666
2025-10-01,3.0333333333333337,3.0666666666666664,4.1
2025-11-01,2.733333333333333,2.9,4.2
2025-12-01,2.6,2.966666666666667,4.433333333333334
2026-01-01,3.1666666666666665,3.033333333333333,4.6000000000000005
2026-02-01,2.9,2.933333333333333,3.733333333333333
