date,High AI Exposure,Medium AI Exposure,Low AI Exposure
2022-01-01,5.433333333333334,3.733333333333333,4.833333333333333
2022-02-01,4.9,3.8666666666666667,3.7000000000000006
2022-03-01,4.366666666666666,3.9,2.3
2022-04-01,3.9333333333333336,3.3000000000000003,2.6666666666666665
2022-05-01,3.633333333333333,3.1999999999999997,2.966666666666667
2022-06-01,3.6666666666666665,3.233333333333333,2.266666666666667
2022-07-01,3.766666666666667,3.266666666666667,1.6000000000000003
2022-08-01,3.9,3.4666666666666663,2.5333333333333337
2022-09-01,3.5666666666666664,3.1,2.3333333333333335
2022-10-01,3.466666666666667,3.233333333333333,2.0
2022-11-01,3.3666666666666667,3.1666666666666665,2.3666666666666667
2022-12-01,3.266666666666667,2.533333333333333,2.3000000000000003
2023-01-01,5.033333333333333,3.0333333333333337,2.1666666666666665
2023-02-01,5.2,3.3666666666666667,2.8000000000000003
2023-03-01,4.533333333333333,3.3333333333333335,3.8000000000000003
2023-04-01,3.6,2.933333333333333,1.7666666666666668
2023-05-01,3.6333333333333333,2.8333333333333335,2.1999999999999997
2023-06-01,3.6333333333333333,2.6999999999999997,2.1999999999999997
2023-07-01,3.533333333333333,3.266666666666667,2.3333333333333335
2023-08-01,3.5666666666666664,3.233333333333334,2.9333333333333336
2023-09-01,4.066666666666666,3.5666666666666664,2.9333333333333336
2023-10-01,3.6,3.6333333333333333,4.0
2023-11-01,3.966666666666667,3.3666666666666667,2.733333333333333
2023-12-01,4.333333333333333,3.0,2.5666666666666664
2024-01-01,5.233333333333333,3.533333333333333,3.533333333333333
2024-02-01,5.033333333333334,3.6666666666666665,3.633333333333333
2024-03-01,4.366666666666667,3.6666666666666665,3.033333333333333
2024-04-01,3.7999999999999994,3.3333333333333335,3.0
2024-05-01,3.8333333333333335,3.233333333333333,3.5333333333333337
2024-06-01,4.0,3.466666666666667,3.3000000000000003
2024-07-01,4.433333333333334,3.9333333333333336,4.5
2024-08-01,4.0,3.6666666666666665,4.166666666666667
2024-09-01,4.0,3.5666666666666664,2.733333333333333
2024-10-01,3.9,3.9666666666666663,2.3666666666666667
2024-11-01,4.2,3.733333333333333,2.1999999999999997
2024-12-01,4.5,3.533333333333333,3.8000000000000003
2025-01-01,5.766666666666666,3.4333333333333336,4.233333333333333
2025-02-01,4.866666666666667,3.3666666666666667,3.766666666666667
2025-03-01,4.566666666666666,3.4,3.0666666666666664
2025-04-01,4.733333333333333,3.366666666666667,3.8333333333333335
2025-05-01,4.1000000000000005,3.6999999999999997,4.133333333333334
2025-06-01,4.133333333333334,3.6333333333333333,2.733333333333333
2025-07-01,4.066666666666667,4.1000000000000005,3.966666666666667
2025-08-01,4.3,4.1000000000000005,3.3666666666666667
2025-09-01,4.2,3.733333333333334,5.366666666666667
2025-11-01,4.733333333333333,3.4333333333333336,5.366666666666667
2025-12-01,4.566666666666666,3.1,4.633333333333334
2026-01-01,5.8,3.5,4.0
2026-02-01,5.166666666666667,3.8666666666666667,3.6999999999999997
2026-03-01,4.9,3.2999999999999994,3.6999999999999997
