soc_code,occupation_title,aioe_score,aioe_Conservative,aioe_Moderate,aioe_Aggressive,aioe_change_Conservative,aioe_change_Moderate,aioe_change_Aggressive,routine_cognitive,physical_manual,education_level,annual_median_wage,tot_emp,baseline_high,newly_exposed_Conservative,newly_exposed_Moderate,newly_exposed_Aggressive
11-1011,Chief Executives,1.334246,1.5201464250025372,1.7550764437318802,2.0810446253163626,0.18590042500253712,0.42083044373188017,0.7467986253163625,0.2144025640169599,0.1343104196574633,5.707272727272727,206420.0,211850.0,True,False,False,False
11-1021,General and Operations Managers,0.5748773,1.0394710953492508,1.302917367504689,1.6806574569651307,0.4645937953492507,0.728040067504689,1.1057801569651307,0.2211350293542074,0.1566955549343024,2.9441454545454544,102950.0,3584420.0,False,True,True,True
11-2011,Advertising and Promotions Managers,1.294387,1.1409977804202998,1.3902573140323669,1.744101405768717,-0.1533892195797002,0.0958703140323669,0.449714405768717,0.2173307099524511,0.1519101492047876,4.059636363636363,126960.0,21100.0,True,False,False,False
11-2021,Marketing Managers,1.315032,1.3292790661717038,1.5398838602063365,1.8258140694518923,0.014247066171703793,0.22485186020633652,0.5107820694518923,0.2076436036310931,0.1279273781371576,5.131272727272727,161030.0,384980.0,True,False,False,False
11-2022,Sales Managers,1.26628,1.2114155580387043,1.4451960951196146,1.774852490338224,-0.05486444196129581,0.17891609511961448,0.5085724903382238,0.2077679661138632,0.1388470098355948,4.668069556680695,138060.0,603710.0,True,False,False,False
11-3021,Computer and Information Systems Managers,1.059853,1.2958459401861087,1.544144781458244,1.8921321756758087,0.23599294018610872,0.48429178145824414,0.8322791756758088,0.2234188651969642,0.1522949042284062,4.309712789460764,171200.0,645970.0,True,False,False,False
11-3031,Financial Managers,1.446232,1.8310410407952469,2.100835814449396,2.467540702387783,0.3848090407952469,0.654603814449396,1.0213087023877832,0.2434548884811206,0.124234357635748,5.052699517001897,161700.0,818620.0,True,False,False,False
11-3051,Industrial Production Managers,0.5086878,0.4957876153380867,0.7812717000922336,1.212352428618959,-0.012900184661913339,0.27258390009223354,0.7036646286189591,0.2180115505855824,0.2071972573111525,3.68335841034476,121440.0,234380.0,False,False,False,True
11-3061,Purchasing Managers,1.423426,1.4860321619273997,1.7557319583762634,2.135777906103536,0.06260616192739965,0.3323059583762633,0.7123519061035357,0.2275568181818181,0.1374289772727272,4.138909090909091,139510.0,81240.0,True,False,False,False
11-3071,"Transportation, Storage, and Distribution Managers",0.8907923,0.9891662897740763,1.2454038009669062,1.6167015220922587,0.0983739897740763,0.3546115009669062,0.7259092220922587,0.2143953729158484,0.1650183869470527,4.948072727272727,102010.0,213000.0,False,False,True,True
11-3111,Compensation and Benefits Managers,1.298235,1.8132148249852882,2.101100198059792,2.4999171289777435,0.5149798249852882,0.8028651980597918,1.2016821289777435,0.2430839358692235,0.1214240804778371,4.913454545454545,140360.0,20070.0,True,False,False,False
11-3121,Human Resources Managers,1.320417,1.5485199082478125,1.7938720167367408,2.1322429081784025,0.22810290824781254,0.47345501673674084,0.8118259081784025,0.2199625182203096,0.1224404803220656,4.857796038577961,140030.0,215520.0,True,False,False,False
11-3131,Training and Development Managers,1.284423,1.6021016948249716,1.8449949666793004,2.174658427167243,0.31767869482497146,0.5605719666793003,0.8902354271672428,0.2260473717903122,0.121345757166228,5.0,127090.0,44960.0,True,False,False,False
11-9021,Construction Managers,1.029139,1.1446939550651447,1.419789021785618,1.8189148128805872,0.11555495506514468,0.3906500217856179,0.7897758128805872,0.2218859295130481,0.162227602905569,4.454545454545455,106980.0,348330.0,True,False,False,False
11-9031,"Education Administrators, Preschool and Child Care Center/Program",0.838007,0.7055318724956385,0.9490534364776932,1.306124175564783,-0.1324751275043614,0.1110464364776933,0.46811717556478305,0.1985330769778537,0.1555935341451257,3.283054545454545,56270.0,71620.0,False,False,False,True
11-9032,"Education Administrators, Elementary and Secondary School",1.048811,1.4228188631905685,1.6867837638956582,2.0608114339907493,0.37400786319056856,0.6379727638956583,1.0120004339907493,0.2224594087586519,0.1403713047415744,5.961103889611039,104070.0,319630.0,True,False,False,False
11-9033,"Education Administrators, Postsecondary",1.461149,1.6793732487193336,1.916394870133684,2.2356103595518686,0.21822424871933355,0.4552458701336839,0.7744613595518686,0.2261632622962908,0.1220411474080082,7.002036363636364,103960.0,176420.0,True,False,False,False
11-9041,Engineering Managers,0.8370105,1.1420544357876328,1.417557149727665,1.8195893417669422,0.3050439357876328,0.5805466497276649,0.9825788417669422,0.2233210590917061,0.1758723478870769,5.335453136293179,167740.0,210340.0,False,True,True,True
11-9051,Food Service Managers,-0.1213112,0.16086372363033274,0.4393524517461811,0.868945706708758,0.28217492363033275,0.560663651746181,0.990256906708758,0.2004555808656036,0.2043605597136349,2.120621153024393,65310.0,244230.0,False,False,False,False
11-9071,Gaming Managers,0.8299207,0.8658911444941784,1.1524873441848085,1.573866249237843,0.03597044449417841,0.3225666441848085,0.7439455492378431,0.2231143193871538,0.1727312905126694,2.4088727272727275,85580.0,4620.0,False,False,True,True
11-9081,Lodging Managers,0.4021726,0.4983438590054754,0.7481765319039659,1.1215368126130087,0.0961712590054754,0.34600393190396594,0.7193642126130088,0.1986566957485112,0.1767760697964271,3.828953468289535,68130.0,41350.0,False,False,False,True
11-9111,Medical and Health Services Managers,1.260259,1.4089595451509864,1.6864635666207355,2.0830796808610126,0.1487005451509864,0.42620456662073547,0.8228206808610126,0.2263600821681796,0.1453846663574315,4.818272736364547,117960.0,565840.0,True,False,False,False
11-9121,Natural Sciences Managers,1.327906,1.3563433458379435,1.6585124375850686,2.0957234654827945,0.02843734583794344,0.3306064375850686,0.7678174654827945,0.2404298675464558,0.1706855562563679,5.320362193891311,161180.0,100870.0,True,False,False,False
11-9131,Postmasters and Mail Superintendents,0.8233757,0.8779612452188368,1.1489028323329866,1.5458096188118202,0.05458554521883674,0.3255271323329866,0.7224339188118202,0.2153856777846833,0.1656653546025827,2.4739655783760197,92730.0,13810.0,False,False,True,True
11-9141,"Property, Real Estate, and Community Association Managers",1.215396,0.9394681782544185,1.2051410685163684,1.5932043203293036,-0.2759278217455814,-0.010254931483631546,0.37780832032930367,0.2122983572591386,0.1587242859257067,4.163636363636364,66700.0,296640.0,True,False,False,False
11-9151,Social and Community Service Managers,1.156153,1.2258986459939631,1.4905313884347635,1.8672520616588082,0.06974564599396316,0.33437838843476353,0.7110990616588082,0.2217850637522768,0.144408014571949,4.8598768967805865,78240.0,195490.0,True,False,False,False
11-9161,Emergency Management Directors,1.030768,0.7087039015427523,0.9762074081117089,1.3755237662024205,-0.3220640984572476,-0.05456059188829099,0.34475576620242054,0.2080279923417178,0.1805638080147884,4.603203316032033,86130.0,12570.0,True,False,False,False
11-9199,"Managers, All Other",0.9646872,1.1020978558756165,1.3912987312808425,1.8137330866019452,0.13741065587561652,0.4266115312808425,0.8490458866019452,0.2282746360224486,0.1712350255045722,4.4259620352315725,136550.0,630980.0,False,True,True,True
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",1.068559,1.0909416762796824,1.3147133963549984,1.624370080296539,0.02238267627968238,0.24615439635499836,0.555811080296539,0.2102573298664036,0.1362862010221465,3.690181818181818,96310.0,14220.0,True,False,False,False
13-1031,"Claims Adjusters, Examiners, and Investigators",1.274024,1.5433978677705231,1.8569329759672457,2.3018424060999534,0.2693738677705231,0.5829089759672457,1.0278184060999533,0.2493364558938329,0.1410616705698673,4.089618052714362,76790.0,305020.0,True,False,False,False
13-1032,"Insurance Appraisers, Auto Damage",0.6634955,0.7867924934408519,1.1064524298765532,1.585236921362167,0.12329699344085188,0.4429569298765532,0.9217414213621671,0.2309894304169113,0.1876100998238402,2.756727272727273,76650.0,7790.0,False,False,True,True
13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",0.6981205,1.2522621494367185,1.5661431010354594,2.022765572926321,0.5541416494367185,0.8680226010354594,1.3246450729263213,0.2403358105069282,0.1640717023965048,4.0941212121212125,78420.0,397770.0,False,True,True,True
13-1051,Cost Estimators,1.367669,1.8163628253434796,2.109838091811015,2.513438180476319,0.44869382534347957,0.7421690918110151,1.145769180476319,0.2523974217890268,0.1283603207042917,4.5040859550408605,77070.0,219530.0,True,False,False,False
13-1071,"Employment, Recruitment, and Placement Specialists",1.36005,1.578587625238446,1.8755413181657241,2.295153678475636,0.2185376252384461,0.5154913181657241,0.9351036784756361,0.2388002454740718,0.1295642835225529,4.466909090909091,72910.0,917460.0,True,False,False,False
13-1074,Farm Labor Contractors,-0.4354025,-0.08751577954912637,0.2127262227610096,0.6794600215866897,0.34788672045087365,0.6481287227610096,1.1148625215866899,0.2095485609779574,0.2216767735104437,1.5168210451682105,48690.0,410.0,False,False,False,False
13-1075,Labor Relations Specialists,1.334834,1.4577201406114677,1.7395460227904171,2.1356234527468714,0.12288614061146763,0.40471202279041707,0.8007894527468713,0.2355599375564867,0.1337605784241229,4.670992206752935,93500.0,64590.0,True,False,False,False
13-1081,Logisticians,1.297303,1.3297834193391844,1.6201932245368913,2.0338821731307313,0.03248041933918433,0.3228902245368912,0.7365791731307312,0.2386129520689056,0.1547645642514955,4.396250428016036,80880.0,235640.0,True,False,False,False
13-1111,Management Analysts,1.432417,1.5346755845650395,1.7976851505412033,2.161779643730761,0.10225858456503945,0.3652681505412032,0.7293626437307608,0.23155505107832,0.1308881952326901,4.913482257316641,101190.0,893900.0,True,False,False,False
13-1121,Meeting and Convention Planners,0.3740207,0.42175259971563106,0.6743425242388998,1.0520327500023365,0.047731899715631076,0.30032182423889986,0.6780120500023366,0.2030270702760368,0.1876250166688892,3.667272727272728,59440.0,134670.0,False,False,False,True
13-1131,Fundraisers,1.242567,1.2317410586271598,1.4831011021344236,1.832360496664515,-0.010825941372840209,0.2405341021344236,0.5897934966645151,0.2249481174029054,0.1361547583753335,4.740218181818181,66490.0,105930.0,True,False,False,False
13-1141,"Compensation, Benefits, and Job Analysis Specialists",1.440985,1.5758310128337873,1.8903850504389326,2.3367031291128573,0.1348460128337874,0.4494000504389326,0.8957181291128573,0.2505360382648853,0.1429985155863433,4.567120348398476,77020.0,102370.0,True,False,False,False
13-1151,Training and Development Specialists,1.198409,1.0877413256322894,1.3407178249613483,1.698698198004437,-0.11066767436771063,0.14230882496134822,0.500289198004437,0.2192485462949157,0.1458923512747875,4.256765232567652,65850.0,436610.0,True,False,False,False
13-1161,Market Research Analysts and Marketing Specialists,1.426757,1.7889844390002787,2.057817833637479,2.4205933713857215,0.36222743900027865,0.631060833637479,0.9938363713857215,0.2457692604899157,0.1232516807047368,4.573057710750827,76950.0,861140.0,True,False,False,False
13-1199,"Business Operations Specialists, All Other",1.047687,1.437559133583267,1.7163710623810204,2.1085784360897706,0.3898721335832669,0.6686840623810204,1.0608914360897705,0.2351168242355547,0.1415286328859579,4.344664268766799,81270.0,1128200.0,True,False,False,False
13-2031,Budget Analysts,1.502988,1.7733570353851853,2.1062446013058005,2.574750748621765,0.2703690353851853,0.6032566013058005,1.071762748621765,0.2675292883371219,0.1474908200734394,4.346647153466471,87930.0,47170.0,True,False,False,False
13-2041,Credit Analysts,1.345268,2.023983933919353,2.3618405991534828,2.830622470046132,0.6787159339193529,1.0165725991534829,1.4853544700461323,0.2745098039215686,0.129823618945295,4.709090909090909,80970.0,67370.0,True,False,False,False
13-2052,Personal Financial Advisors,1.400749,2.1233371991858134,2.4380264967232197,2.870715669416487,0.7225881991858134,1.0372774967232197,1.4699666694164868,0.2604426433915212,0.1123753117206982,4.804290909090909,102140.0,270480.0,True,False,False,False
13-2053,Insurance Underwriters,1.326652,1.7413624957662759,2.058270677324891,2.499958072857308,0.41471049576627594,0.7316186773248912,1.1733060728573081,0.25990930466913,0.1309203896540141,4.1999272727272725,79880.0,107820.0,True,False,False,False
13-2061,Financial Examiners,1.526064,1.9200709516167258,2.230149647924368,2.655212440168805,0.3940069516167257,0.7040856479243678,1.129148440168805,0.2638664946791357,0.1234279264753305,4.7628964376289655,90400.0,62830.0,True,False,False,False
13-2071,Loan Counselors,1.385381,1.540259587949763,1.860996989271125,2.312334282342444,0.15487858794976295,0.4756159892711249,0.926953282342444,0.2559715398949686,0.1312891749957648,3.1818181818181817,50480.0,28110.0,True,False,False,False
13-2072,Loan Officers,1.385739,1.6137011338666758,1.932842859169621,2.3841482716565805,0.22796213386667574,0.5471038591696209,0.9984092716565804,0.2553567129443865,0.1434876815664874,4.198254545454544,74180.0,290530.0,True,False,False,False
13-2081,"Tax Examiners, Collectors, and Revenue Agents",1.36682,1.4867314536431946,1.8026712046556563,2.253928219998335,0.11991145364319467,0.4358512046556564,0.8871082199983349,0.246417445482866,0.1426791277258567,3.637845306378453,59740.0,53530.0,True,False,False,False
13-2082,Tax Preparers,1.29371,1.6045182220520537,1.9587967162853221,2.4688882694854524,0.31080822205205383,0.6650867162853222,1.1751782694854525,0.2631578947368421,0.1505847953216374,2.983365299833653,50560.0,73570.0,True,False,False,False
13-2099,"Financial Specialists, All Other",1.361362,1.7476738734852868,2.0487012360690526,2.4681887812135868,0.38631187348528684,0.6873392360690527,1.1068267812135868,0.2517546294460526,0.1361671755422499,5.1938545454545455,80190.0,127450.0,True,False,False,False
15-2011,Actuaries,1.516474,2.1240626244673395,2.4211975650328332,2.8249926086401196,0.6075886244673394,0.9047235650328331,1.3085186086401195,0.2585112521638776,0.118869013271783,5.025857131167662,125770.0,28340.0,True,False,False,False
15-2021,Mathematicians,1.472319,2.005294777783094,2.276469519266753,2.6425375580009747,0.5329757777830941,0.8041505192667529,1.1702185580009747,0.2484004841777624,0.1265779007435587,7.24251516060697,121680.0,2220.0,True,False,False,False
15-2031,Operations Research Analysts,1.40002,1.7380520242806363,2.006087972900328,2.3713791718523893,0.3380320242806363,0.6060679729003278,0.9713591718523893,0.2436067881442089,0.1336513646672401,5.848654545454546,91290.0,107760.0,True,False,False,False
15-2041,Statisticians,1.382724,2.069357954015123,2.374455946930227,2.7913676396434957,0.686633954015123,0.9917319469302268,1.4086436396434956,0.2632532850022654,0.1265395230053136,6.266226947711022,103300.0,29800.0,True,False,False,False
17-1011,"Architects, Except Landscape and Naval",1.047142,1.4594656341202383,1.735506154267017,2.1292544150107893,0.4123236341202383,0.6883641542670169,1.0821124150107893,0.2269423470467856,0.1469903323689224,5.675345454545455,96690.0,111140.0,True,False,False,False
17-1012,Landscape Architects,1.034388,1.2005746522285972,1.4545889158092358,1.8185349436398566,0.16618665222859708,0.4202009158092357,0.7841469436398565,0.2153878672585077,0.1558514760797576,5.233672727272727,79660.0,19580.0,True,False,False,False
17-1021,Cartographers and Photogrammetrists,0.8169979,1.1390011834892158,1.458149779011038,1.92421456140193,0.3220032834892157,0.641151879011038,1.1072166614019299,0.2452371916508539,0.1788235294117647,3.7917090909090914,78380.0,12790.0,False,True,True,True
